OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
Fishery2011	T073760	---	---	---	---	---	---	---	---	---	---	8	14	0	0	1	---	---	---	---	---	---
Fishery2011	T073761	---	---	---	---	---	---	---	---	---	---	6	12	0	0	0	---	---	---	---	---	---
Fishery2011	T073762	---	---	---	---	---	---	---	---	---	---	51	48	0	0	1	---	---	---	---	---	---
Fishery2011	T073763	---	---	---	---	---	---	---	---	---	---	1	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073764	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073765	---	---	---	---	---	---	---	---	---	---	84	95	0	0	0	---	---	---	---	---	---
Fishery2011	T073766	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073767	---	---	---	---	---	---	---	---	---	---	180	218	1	0	0	---	---	---	---	---	---
Fishery2011	T073768	---	---	---	---	---	---	---	---	---	---	175	201	0	0	0	---	---	---	---	---	---
Fishery2011	T073769	---	---	---	---	---	---	---	---	---	---	63	53	0	0	0	---	---	---	---	---	---
Fishery2011	T073770	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073771	---	---	---	---	---	---	---	---	---	---	12	7	0	0	0	---	---	---	---	---	---
Fishery2011	T073772	---	---	---	---	---	---	---	---	---	---	67	74	0	0	0	---	---	---	---	---	---
Fishery2011	T073773	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073774	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073775	---	---	---	---	---	---	---	---	---	---	7	14	0	0	0	---	---	---	---	---	---
Fishery2011	T073776	---	---	---	---	---	---	---	---	---	---	5	8	0	0	0	---	---	---	---	---	---
Fishery2011	T073777	---	---	---	---	---	---	---	---	---	---	5	4	0	0	0	---	---	---	---	---	---
